Date,Region,Product,Quantity Sold,Revenue,Profit Margin,Customer Age Group,Customer Gender
2023-09-12,South,Furniture,33,115.71,25.12,26-35,Male
2023-04-09,West,Groceries,78,406.25,7.62,36-50,Female
2023-05-20,West,Electronics,28,78.46,19.31,18-25,Male
2023-02-26,South,Groceries,78,468.4,21.91,50+,Female
2023-04-11,North,Groceries,99,408.19,16.61,26-35,Female
2023-04-27,South,Electronics,32,106.21,11.02,50+,Male
2023-05-11,North,Groceries,71,414.55,9.73,50+,Male
2023-08-19,North,Electronics,55,268.29,16.38,50+,Male
2023-03-07,South,Electronics,100,283.13,17.92,18-25,Male
2023-09-11,East,Apparel,69,105.8,8.83,18-25,Female
2023-03-29,North,Groceries,31,447.48,21.18,18-25,Male
2023-09-04,North,Apparel,83,440.34,10.89,18-25,Female
2023-08-06,West,Apparel,67,419.04,11.77,50+,Female
2023-06-25,East,Apparel,50,164.32,21.5,50+,Female
2023-10-26,West,Electronics,70,404.12,9.81,18-25,Female
2023-02-17,West,Electronics,89,248.46,5.67,26-35,Male
2023-11-17,East,Electronics,100,77.24,18.52,18-25,Male
2023-06-07,North,Furniture,91,362.87,17.57,50+,Male
2023-03-01,West,Electronics,37,189.29,18.94,50+,Male
2023-03-12,West,Furniture,28,304.32,8.48,50+,Male
2023-11-25,South,Electronics,68,24.29,11.04,50+,Female
2023-10-14,West,Groceries,55,181.72,7.85,50+,Female
2023-07-22,South,Apparel,24,171.14,8.27,36-50,Male
2023-11-06,East,Apparel,45,224.8,15.45,18-25,Female
2023-09-30,South,Electronics,29,301.83,17.78,26-35,Female
2023-12-11,North,Groceries,87,135.17,26.63,50+,Female
2023-12-14,South,Groceries,34,172.84,12.02,36-50,Male
2023-05-21,South,Apparel,93,280.58,24.31,36-50,Female
2023-01-08,South,Furniture,90,233.76,7.06,18-25,Male
2023-03-26,North,Groceries,19,37.41,17.82,36-50,Male
2023-11-22,East,Groceries,36,251.4,7.33,50+,Female
2023-01-25,South,Apparel,83,421.4,7.39,50+,Female
2023-03-01,East,Apparel,45,156.75,22.21,26-35,Male
2023-09-24,West,Groceries,44,318.03,19.03,50+,Male
2023-07-02,North,Electronics,41,83.78,24.82,26-35,Female
2023-10-04,East,Groceries,78,421.16,26.67,36-50,Female
2023-12-11,South,Electronics,74,425.77,10.54,18-25,Male
2023-07-12,South,Electronics,59,298.05,29.25,36-50,Female
2023-10-03,East,Apparel,84,134.62,9.58,26-35,Female
2023-03-23,North,Apparel,57,76.9,12.73,18-25,Female
2023-02-11,North,Furniture,13,55.88,18.75,36-50,Male
2023-09-26,North,Furniture,21,72.8,10.42,26-35,Female
2023-06-01,East,Electronics,29,355.45,13.26,26-35,Female
2023-05-08,West,Electronics,63,251.95,24.7,26-35,Male
2023-08-26,East,Groceries,83,109.04,11.92,36-50,Male
2023-10-15,East,Electronics,19,454.44,28.57,26-35,Male
2023-05-27,South,Groceries,80,122.29,7.24,26-35,Male
2023-06-28,South,Groceries,85,312.43,5.21,50+,Female
2023-12-13,South,Furniture,75,271.4,9.8,36-50,Female
2023-10-14,West,Groceries,11,184.74,29.6,36-50,Male
2023-05-28,North,Apparel,30,75.28,14.07,26-35,Female
2023-08-16,North,Groceries,67,67.27,11.15,18-25,Male
2023-07-25,North,Groceries,99,252.02,28.9,26-35,Female
2023-07-29,South,Furniture,14,464.42,15.64,18-25,Female
2023-05-17,North,Electronics,61,68.68,27.57,26-35,Male
2023-08-26,East,Furniture,9,484.81,17.21,18-25,Female
2023-04-01,North,Electronics,54,177.3,28.53,36-50,Female
2023-01-04,North,Furniture,74,96.82,23.11,18-25,Male
2023-01-06,East,Groceries,47,271.95,14.88,50+,Male
2023-03-23,South,Furniture,19,395.96,11.77,50+,Female
2023-02-04,North,Apparel,95,422.3,15.61,18-25,Male
2023-11-18,West,Groceries,64,254.62,29.3,18-25,Male
2023-02-09,West,Electronics,21,147.95,12.72,50+,Male
2023-05-22,West,Furniture,62,421.93,16.72,36-50,Male
2023-03-31,South,Furniture,58,257.71,23.8,50+,Female
2023-02-15,North,Furniture,96,328.21,10.24,50+,Male
2023-12-20,South,Furniture,79,70.0,17.62,26-35,Male
2023-08-12,East,Apparel,72,139.5,24.72,50+,Female
2023-02-17,North,Apparel,70,141.53,12.62,50+,Male
2023-08-24,West,Groceries,95,168.55,23.51,18-25,Male
2023-11-16,West,Apparel,91,75.26,23.31,50+,Female
2023-10-20,East,Furniture,61,353.62,19.18,50+,Male
2023-10-30,South,Furniture,67,260.83,16.63,50+,Female
2023-05-06,East,Electronics,54,255.74,20.06,26-35,Male
2023-07-01,South,Electronics,86,364.63,18.88,36-50,Male
2023-02-08,West,Groceries,35,443.24,11.34,26-35,Female
2023-08-10,West,Groceries,11,221.74,22.05,50+,Female
2023-03-27,South,Groceries,74,260.87,7.53,26-35,Male
2023-12-06,East,Groceries,63,355.11,28.01,18-25,Female
2023-06-21,East,Electronics,60,125.65,13.63,18-25,Female
2023-04-23,West,Furniture,3,228.26,23.77,18-25,Male
2023-02-22,South,Electronics,26,324.83,7.03,50+,Female
2023-09-20,East,Apparel,76,157.47,13.74,26-35,Male
2023-08-06,North,Electronics,2,461.55,21.02,18-25,Male
2023-06-07,East,Apparel,42,132.71,28.09,36-50,Male
2023-11-25,North,Apparel,95,190.08,28.16,18-25,Female
2023-05-10,South,Furniture,60,407.27,12.92,26-35,Female
2023-08-07,North,Groceries,43,76.3,5.3,26-35,Female
2023-05-17,East,Electronics,10,405.18,5.52,36-50,Female
2023-09-19,East,Electronics,43,224.28,14.19,26-35,Female
2023-09-30,North,Apparel,29,157.3,16.82,26-35,Male
2023-03-31,South,Electronics,76,264.13,22.39,50+,Male
2023-07-12,West,Electronics,25,387.7,9.3,50+,Female
2023-11-11,North,Apparel,44,332.96,17.89,36-50,Female
2023-10-22,North,Furniture,57,472.49,29.58,36-50,Male
2023-11-30,South,Electronics,63,440.34,7.33,36-50,Male
2023-02-08,North,Apparel,42,205.82,28.25,18-25,Male
2023-05-05,West,Apparel,33,235.53,7.23,50+,Female
2023-10-15,South,Groceries,35,423.36,23.05,50+,Female
2023-03-19,East,Furniture,35,496.01,15.95,36-50,Male
2023-11-21,South,Groceries,28,95.02,14.4,50+,Female
2023-09-15,West,Electronics,16,181.3,29.05,18-25,Female
2023-05-19,North,Groceries,74,254.58,22.79,18-25,Male
2023-10-12,West,Electronics,54,491.67,16.38,36-50,Female
2023-12-24,South,Electronics,11,461.15,21.09,26-35,Female
2023-01-04,West,Furniture,79,156.64,22.69,26-35,Female
2023-08-23,South,Furniture,74,455.49,15.32,26-35,Male
2023-11-13,West,Furniture,38,276.27,10.46,36-50,Male
2023-10-26,South,Apparel,79,13.64,29.82,26-35,Male
2023-02-09,East,Furniture,7,341.37,21.43,36-50,Female
2023-05-24,East,Furniture,59,427.25,9.5,50+,Female
2023-08-03,North,Groceries,27,349.66,14.57,50+,Female
2023-06-05,South,Electronics,100,398.13,8.32,26-35,Female
2023-08-21,North,Electronics,58,328.1,28.48,36-50,Male
2023-11-11,South,Furniture,71,30.95,10.08,26-35,Male
2023-03-28,North,Groceries,61,41.06,9.6,18-25,Male
2023-02-13,North,Groceries,15,486.48,7.51,36-50,Male
2023-06-04,North,Electronics,95,468.25,28.21,36-50,Male
2023-02-19,West,Electronics,45,22.92,9.65,50+,Male
2023-10-08,South,Groceries,61,147.53,23.85,18-25,Male
2023-12-10,South,Groceries,19,355.37,27.24,26-35,Male
2023-03-11,East,Groceries,5,72.88,27.08,18-25,Male
2023-08-11,North,Furniture,42,26.89,21.11,26-35,Female
2023-09-11,West,Furniture,98,318.11,16.53,18-25,Female
2023-11-18,West,Apparel,23,214.44,8.4,50+,Male
2023-03-03,North,Apparel,72,448.17,22.58,50+,Male
2023-07-06,West,Furniture,47,51.98,17.26,26-35,Female
2023-11-08,West,Electronics,36,272.89,20.33,50+,Female
2023-03-08,West,Furniture,57,413.38,14.04,18-25,Male
2023-11-11,North,Groceries,21,430.67,26.23,26-35,Female
2023-10-18,West,Furniture,40,280.08,7.06,26-35,Male
2023-02-06,East,Apparel,38,360.95,25.89,36-50,Male
2023-01-18,East,Furniture,77,437.54,7.05,50+,Male
2023-05-22,West,Apparel,46,388.2,29.66,18-25,Female
2023-11-21,West,Groceries,51,57.49,12.32,36-50,Male
2023-06-16,South,Furniture,60,92.39,14.06,26-35,Male
2023-04-25,North,Apparel,80,29.5,21.75,50+,Female
2023-12-22,South,Electronics,85,478.13,10.95,36-50,Female
2023-05-13,West,Apparel,10,484.58,7.22,50+,Male
2023-08-12,East,Electronics,9,476.28,8.17,18-25,Female
2023-02-09,West,Furniture,60,487.37,14.39,36-50,Female
2023-12-18,East,Apparel,42,119.16,24.03,36-50,Female
2023-06-12,East,Furniture,17,224.46,18.55,26-35,Female
2023-03-26,South,Apparel,93,44.02,26.2,26-35,Male
2023-08-10,North,Electronics,42,222.96,14.67,18-25,Male
2023-12-21,East,Groceries,51,295.81,12.25,50+,Female
2023-10-03,East,Groceries,93,355.28,20.45,50+,Male
2023-12-22,North,Groceries,41,464.75,29.63,18-25,Male
2023-12-05,North,Furniture,72,343.51,19.12,36-50,Male
2023-07-10,North,Electronics,69,42.94,22.81,18-25,Male
2023-06-27,East,Apparel,3,135.72,17.09,36-50,Male
2023-02-26,South,Apparel,42,432.19,29.12,36-50,Female
2023-10-24,South,Groceries,43,419.49,28.08,18-25,Male
2023-02-20,South,Electronics,75,425.55,10.99,50+,Female
2023-10-30,East,Groceries,59,101.46,16.09,26-35,Male
2023-11-14,East,Apparel,15,499.79,14.16,26-35,Female
2023-02-05,East,Apparel,58,65.15,5.58,18-25,Female
2023-03-26,South,Furniture,23,81.46,29.39,36-50,Female
2023-12-16,West,Groceries,32,14.24,29.96,50+,Female
2023-05-31,North,Electronics,75,371.65,12.54,26-35,Female
2023-12-24,East,Electronics,77,423.28,26.31,26-35,Male
2023-06-16,East,Electronics,78,439.21,7.93,26-35,Male
2023-12-18,East,Electronics,23,343.84,23.91,36-50,Male
2023-03-26,North,Furniture,59,368.41,8.34,18-25,Female
2023-06-23,West,Furniture,5,446.73,6.82,26-35,Female
2023-06-22,West,Furniture,26,331.91,24.22,36-50,Female
2023-07-12,South,Groceries,87,154.65,6.1,36-50,Female
2023-04-08,North,Apparel,44,109.49,23.06,36-50,Female
2023-09-02,West,Furniture,52,147.7,21.01,26-35,Female
2023-09-23,North,Apparel,78,140.14,11.13,36-50,Male
2023-05-13,North,Furniture,99,271.86,10.81,50+,Female
2023-05-02,North,Groceries,17,42.57,22.67,36-50,Male
2023-09-25,East,Groceries,39,232.13,11.28,36-50,Male
2023-12-22,East,Apparel,96,140.48,21.96,18-25,Male
2023-03-05,West,Electronics,96,115.87,13.77,50+,Male
2023-11-09,East,Groceries,57,280.19,9.18,26-35,Male
2023-11-16,South,Apparel,78,239.35,8.2,26-35,Male
2023-12-02,South,Groceries,41,474.93,24.9,50+,Female
2023-12-16,North,Electronics,15,442.53,27.15,50+,Female
2023-11-08,North,Apparel,12,118.79,11.44,36-50,Female
2023-12-23,West,Apparel,98,378.52,10.62,36-50,Male
2023-06-16,West,Electronics,92,295.77,27.14,50+,Female
2023-01-10,South,Apparel,43,224.83,15.84,36-50,Female
2023-04-10,East,Apparel,32,195.42,26.68,36-50,Female
2023-02-26,West,Apparel,43,140.08,28.29,18-25,Male
2023-08-23,North,Groceries,53,155.16,18.7,36-50,Male
2023-03-02,West,Groceries,95,352.69,6.65,36-50,Male
2023-12-02,North,Apparel,20,295.49,11.3,36-50,Male
2023-06-19,West,Groceries,30,326.36,24.04,36-50,Female
2023-12-01,East,Furniture,23,96.46,21.32,26-35,Female
2023-01-18,North,Groceries,99,13.46,29.9,50+,Female
2023-07-17,East,Apparel,4,97.31,5.56,50+,Male
2023-07-05,West,Furniture,97,89.26,23.35,26-35,Female
2023-08-24,North,Furniture,30,243.56,23.89,26-35,Male
2023-12-28,West,Electronics,61,348.77,27.32,26-35,Female
2023-11-05,North,Groceries,19,41.38,22.28,26-35,Female
2023-05-02,South,Apparel,79,326.95,8.66,26-35,Male
2023-01-20,North,Groceries,11,56.6,23.71,26-35,Female
2023-06-22,East,Groceries,70,76.08,29.97,26-35,Male
2023-08-16,West,Furniture,51,200.3,29.16,36-50,Female
2023-05-24,South,Electronics,80,418.51,7.49,50+,Male
2023-12-25,North,Groceries,99,169.3,27.01,18-25,Female
2023-10-15,South,Apparel,59,452.45,14.08,50+,Female
2023-05-23,East,Electronics,14,185.81,6.78,36-50,Male
2023-06-24,East,Groceries,26,383.83,15.86,36-50,Female
2023-06-18,North,Groceries,63,182.47,17.46,36-50,Female
2023-10-10,West,Furniture,59,18.76,28.12,36-50,Male
2023-03-30,South,Electronics,73,221.86,12.96,18-25,Female
2023-04-22,North,Groceries,92,281.47,16.27,36-50,Male
2023-09-07,West,Apparel,45,83.07,20.9,26-35,Male
2023-11-01,West,Electronics,42,158.86,6.53,36-50,Male
2023-03-05,North,Groceries,22,373.79,14.59,50+,Male
2023-01-24,North,Electronics,92,499.56,8.23,36-50,Female
2023-01-30,West,Groceries,21,171.83,25.78,26-35,Male
2023-10-26,West,Electronics,81,221.97,24.31,26-35,Male
2023-12-30,South,Apparel,75,132.96,10.05,36-50,Female
2023-05-07,North,Groceries,69,280.12,24.77,18-25,Female
2023-09-27,North,Apparel,47,71.65,18.04,26-35,Female
2023-06-24,South,Apparel,17,265.86,23.35,26-35,Male
2023-11-20,North,Furniture,79,308.51,10.13,50+,Female
2023-10-16,South,Electronics,48,227.18,17.55,50+,Male
2023-07-20,West,Groceries,60,468.87,27.0,50+,Male
2023-05-31,East,Apparel,67,472.19,12.21,18-25,Male
2023-08-06,South,Electronics,31,278.24,26.02,18-25,Male
2023-07-25,North,Apparel,83,417.55,7.97,18-25,Female
2023-05-24,North,Apparel,14,389.57,18.05,26-35,Female
2023-02-01,West,Groceries,14,161.58,10.89,18-25,Female
2023-12-23,East,Electronics,47,359.99,5.65,50+,Female
2023-03-21,West,Apparel,6,383.55,20.28,18-25,Male
2023-09-03,South,Groceries,2,469.5,21.89,36-50,Female
2023-02-25,South,Groceries,63,304.05,22.15,18-25,Female
2023-12-20,East,Apparel,5,203.17,23.93,36-50,Male
2023-04-09,West,Furniture,23,488.05,8.06,36-50,Male
2023-12-10,West,Furniture,98,66.9,7.48,18-25,Male
2023-11-28,North,Apparel,65,362.98,29.36,18-25,Male
2023-12-01,North,Electronics,22,97.17,22.62,36-50,Male
2023-10-01,West,Electronics,85,426.93,17.98,18-25,Female
2023-05-26,South,Groceries,27,435.43,6.06,50+,Female
2023-10-08,East,Groceries,23,238.38,10.38,18-25,Female
2023-02-25,North,Electronics,29,70.5,12.77,50+,Female
2023-03-27,East,Groceries,72,441.94,18.58,36-50,Male
2023-02-01,South,Electronics,23,472.54,11.38,18-25,Male
2023-01-28,East,Apparel,24,272.1,21.66,50+,Male
2023-08-01,South,Furniture,8,213.66,20.6,50+,Male
2023-11-04,South,Groceries,27,297.62,12.66,50+,Male
2023-03-31,West,Apparel,25,278.57,15.72,18-25,Male
2023-01-02,South,Apparel,89,470.19,15.04,36-50,Male
2023-02-14,West,Groceries,24,349.31,20.75,50+,Male
2023-07-18,East,Groceries,83,61.94,17.68,26-35,Male
2023-08-02,North,Furniture,89,228.72,23.59,50+,Male
2023-10-21,South,Apparel,88,414.66,19.78,18-25,Male
2023-12-25,West,Apparel,65,156.91,26.66,36-50,Female
2023-03-27,East,Electronics,74,481.18,9.41,26-35,Male
2023-11-06,East,Electronics,69,250.49,14.26,50+,Male
2023-03-27,West,Groceries,11,312.25,10.94,18-25,Female
2023-06-13,North,Apparel,56,197.07,27.46,50+,Female
2023-05-28,West,Groceries,4,178.12,29.84,18-25,Male
2023-06-26,West,Furniture,26,155.23,28.42,26-35,Female
2023-12-02,East,Groceries,74,397.79,23.04,18-25,Male
2023-06-08,East,Furniture,34,364.63,12.19,50+,Female
2023-05-27,North,Furniture,78,29.46,26.98,50+,Male
2023-03-13,East,Groceries,54,278.54,23.57,36-50,Female
2023-05-28,North,Furniture,23,184.32,23.95,18-25,Male
2023-03-05,North,Electronics,37,223.82,28.35,50+,Female
2023-02-10,North,Groceries,60,242.58,15.01,36-50,Female
2023-04-03,South,Furniture,8,385.65,25.06,18-25,Male
2023-03-15,North,Furniture,84,334.04,8.14,36-50,Female
2023-11-18,East,Furniture,23,10.88,12.26,26-35,Male
2023-10-06,South,Furniture,35,358.46,16.48,26-35,Male
2023-09-01,East,Apparel,58,262.39,26.96,18-25,Male
2023-04-05,West,Furniture,3,260.42,26.42,36-50,Female
2023-06-26,North,Electronics,26,198.47,5.69,50+,Female
2023-05-16,East,Apparel,11,92.97,24.67,50+,Male
2023-08-18,South,Electronics,76,254.47,5.65,18-25,Female
2023-03-17,East,Furniture,5,310.79,8.7,50+,Female
2023-06-27,South,Furniture,81,116.3,10.81,36-50,Female
2023-11-21,North,Groceries,21,421.59,21.4,36-50,Male
2023-07-09,East,Electronics,22,476.59,11.82,26-35,Female
2023-03-04,South,Apparel,2,336.17,27.74,18-25,Female
2023-11-17,West,Furniture,62,344.28,6.96,26-35,Female
2023-12-25,South,Furniture,38,467.27,24.44,18-25,Male
2023-01-31,North,Groceries,45,465.36,11.76,26-35,Female
2023-08-17,South,Electronics,23,378.05,25.37,36-50,Male
2023-09-18,South,Groceries,91,315.44,27.81,50+,Male
2023-12-13,North,Furniture,62,470.01,22.21,26-35,Male
2023-06-25,South,Apparel,95,366.46,14.71,50+,Female
2023-05-02,East,Electronics,53,211.75,15.68,36-50,Female
2023-09-11,West,Apparel,99,384.48,9.07,50+,Female
2023-10-25,South,Groceries,51,305.47,8.91,18-25,Male
2023-08-09,South,Apparel,44,333.92,14.31,50+,Male
2023-04-18,East,Apparel,49,464.87,9.34,18-25,Male
2023-07-29,East,Electronics,100,332.29,27.77,50+,Male
2023-08-14,South,Furniture,22,167.81,7.12,36-50,Female
2023-07-13,East,Electronics,24,334.27,28.92,18-25,Female
2023-10-24,South,Groceries,64,88.44,17.33,36-50,Male
2023-09-01,South,Apparel,19,95.84,12.39,26-35,Male
2023-10-26,East,Electronics,65,69.79,14.85,36-50,Female
2023-02-10,North,Apparel,18,238.01,13.92,36-50,Male
2023-04-15,West,Apparel,80,258.35,10.77,26-35,Male
2023-08-18,North,Furniture,42,481.6,18.95,18-25,Male
2023-07-31,North,Electronics,43,450.14,14.88,36-50,Female
2023-09-04,West,Groceries,60,324.67,22.71,36-50,Male
2023-06-20,West,Groceries,58,79.73,26.33,50+,Female
2023-01-28,North,Electronics,62,451.36,8.47,50+,Female
2023-09-07,North,Furniture,72,130.7,11.65,50+,Female
2023-03-04,East,Electronics,31,113.79,6.12,50+,Male
2023-06-05,North,Electronics,36,242.99,18.51,26-35,Male
2023-07-22,West,Groceries,85,165.25,17.26,50+,Male
2023-09-22,West,Electronics,46,85.09,15.82,18-25,Female
2023-10-24,East,Groceries,95,75.22,10.92,50+,Male
2023-10-20,West,Groceries,76,52.7,10.65,36-50,Female
2023-02-22,West,Groceries,57,98.1,17.51,18-25,Male
2023-03-29,North,Electronics,75,238.01,5.85,26-35,Male
2023-07-16,South,Apparel,57,197.46,17.62,26-35,Female
2023-07-01,South,Apparel,10,328.77,9.77,26-35,Female
2023-01-02,South,Furniture,65,112.91,14.33,50+,Female
2023-05-28,East,Groceries,1,165.5,5.97,36-50,Male
2023-03-21,South,Electronics,24,296.19,7.58,26-35,Male
2023-06-29,West,Apparel,34,277.27,6.47,18-25,Male
2023-07-19,East,Furniture,48,36.31,10.0,36-50,Male
2023-11-14,North,Electronics,13,241.51,5.4,26-35,Male
2023-11-15,South,Electronics,37,266.23,25.96,18-25,Female
2023-03-04,West,Electronics,2,263.51,13.0,50+,Male
2023-09-18,West,Apparel,28,152.27,20.46,50+,Female
2023-03-27,East,Electronics,16,269.38,25.52,26-35,Male
2023-01-01,West,Apparel,70,467.53,9.63,50+,Male
2023-10-02,South,Furniture,8,334.87,8.74,36-50,Female
2023-12-25,West,Apparel,9,88.63,28.85,50+,Female
2023-12-27,West,Electronics,71,275.93,22.14,26-35,Female
2023-09-29,West,Furniture,25,236.04,25.44,50+,Female
2023-05-16,West,Electronics,13,335.27,10.2,36-50,Female
2023-12-16,East,Electronics,89,316.28,16.57,18-25,Female
2023-06-22,West,Furniture,8,43.02,15.13,36-50,Female
2023-05-28,East,Apparel,32,484.31,11.51,26-35,Female
2023-06-16,East,Groceries,22,58.51,12.92,18-25,Female
2023-06-01,South,Furniture,82,249.34,18.39,36-50,Female
2023-01-17,North,Electronics,65,424.75,24.68,50+,Female
2023-04-27,South,Apparel,67,166.35,9.82,26-35,Female
2023-05-12,West,Furniture,56,20.86,7.89,18-25,Male
2023-08-03,West,Groceries,88,27.17,29.59,50+,Male
2023-03-19,North,Groceries,90,420.33,10.65,36-50,Male
2023-10-12,North,Apparel,57,201.61,29.9,26-35,Female
2023-08-17,West,Groceries,4,321.84,13.72,18-25,Female
2023-06-11,East,Furniture,12,377.14,19.45,36-50,Female
2023-08-18,South,Furniture,90,33.51,26.06,36-50,Female
2023-07-11,West,Groceries,33,389.78,11.92,36-50,Male
2023-10-27,North,Furniture,11,278.93,6.67,50+,Male
2023-08-24,East,Furniture,44,362.49,23.6,36-50,Female
2023-03-19,West,Apparel,61,375.79,21.73,50+,Female
2023-12-14,West,Apparel,81,315.7,25.25,18-25,Male
2023-08-26,South,Apparel,82,200.78,11.04,36-50,Female
2023-10-17,North,Furniture,15,24.54,26.18,36-50,Male
2023-06-13,East,Groceries,59,299.9,23.35,50+,Male
2023-08-03,East,Electronics,19,170.98,19.83,50+,Female
2023-02-08,North,Apparel,31,417.2,28.84,26-35,Female
2023-11-08,East,Electronics,63,272.99,12.29,26-35,Male
2023-12-24,North,Electronics,2,305.73,24.75,36-50,Female
2023-07-15,West,Electronics,49,207.96,29.34,50+,Male
2023-08-29,East,Groceries,78,273.33,17.64,50+,Male
2023-02-14,East,Furniture,83,295.89,28.28,50+,Female
2023-02-21,West,Apparel,89,155.67,25.52,26-35,Female
2023-10-27,East,Groceries,2,495.51,17.57,50+,Female
2023-09-09,East,Electronics,75,89.21,10.8,26-35,Male
2023-05-26,South,Furniture,94,34.2,17.3,36-50,Female
2023-07-23,East,Apparel,91,175.89,19.1,26-35,Female
2023-12-04,West,Apparel,6,495.13,15.19,26-35,Female
2023-01-28,East,Furniture,73,71.48,23.89,26-35,Male
2023-03-04,South,Furniture,43,429.61,8.62,50+,Male
2023-12-02,West,Groceries,47,222.87,21.55,18-25,Male
2023-06-13,West,Apparel,38,91.91,8.99,50+,Female
2023-12-22,North,Electronics,16,160.49,17.4,18-25,Female
2023-11-22,West,Groceries,3,223.07,24.52,36-50,Male
2023-06-16,West,Electronics,27,344.14,23.09,26-35,Female
2023-07-20,East,Apparel,68,88.69,7.02,36-50,Female
2023-03-07,West,Groceries,9,486.88,14.16,18-25,Male
2023-06-19,West,Furniture,31,296.5,8.66,18-25,Male
2023-06-12,South,Furniture,20,449.13,27.54,26-35,Male
2023-11-08,South,Furniture,66,422.39,21.51,26-35,Female
2023-12-11,South,Electronics,22,396.39,28.31,50+,Male
2023-10-05,South,Groceries,90,60.19,10.55,18-25,Male
2023-01-28,East,Apparel,93,434.61,26.21,36-50,Female
2023-10-19,East,Groceries,63,388.15,26.49,36-50,Male
2023-11-29,West,Electronics,61,269.83,11.35,18-25,Female
2023-05-29,North,Electronics,72,122.33,6.96,50+,Male
2023-02-02,North,Furniture,63,168.67,26.53,26-35,Male
2023-08-21,South,Apparel,90,135.73,5.97,50+,Female
2023-09-08,North,Furniture,91,113.05,14.27,50+,Male
2023-12-28,West,Apparel,81,399.36,8.92,36-50,Female
2023-10-02,South,Groceries,62,71.14,19.42,18-25,Female
2023-09-19,East,Electronics,13,399.16,23.55,26-35,Male
2023-03-19,East,Furniture,59,62.03,18.37,26-35,Male
2023-09-25,North,Electronics,52,57.76,21.34,50+,Male
2023-08-27,South,Electronics,73,380.05,7.95,26-35,Female
2023-05-16,North,Apparel,17,256.79,19.1,36-50,Female
2023-06-17,North,Electronics,22,326.15,20.27,50+,Male
2023-02-07,South,Furniture,43,273.78,6.05,50+,Female
2023-07-25,West,Electronics,95,191.9,18.73,18-25,Male
2023-01-03,North,Apparel,17,54.03,15.59,50+,Male
